,title,link,votes
0,Factorio 1.0,https://factorio.com/blog/post/fff-360,1297
1,"I Love MDN, or the cult of the free in action",https://www.quirksmode.org/blog/archives/2020/08/i_love_mdn_or_t.html,301
2,Servo Parallel Browser Engine Project,https://github.com/servo/servo,296
3,Stanford cancels plans to bring half of undergrads back to campus,https://stanforddaily.com/2020/08/13/stanford-cancels-plans-to-bring-half-of-undergrads-back-to-campus/,202
4,A Database of 5k Historical Cookbooks,https://www.atlasobscura.com/articles/how-to-find-historic-cookbooks,183
5,Show HN: Photo Realistic QR-Codes,https://www.QRpicture.com,180
6,Unicode in Five Minutes,https://richardjharris.github.io/unicode-in-five-minutes.html,164
7,Expiring vs. Permanent Skills,https://www.collaborativefund.com/blog/expiring-vs-permanent-skills,162
8,Redefining What Sustainable Fishing Means,http://oceans.nautil.us/article/600/its-time-to-redefine-what-sustainable-fishing-means,135
9,Welders set off Beirut blast while securing explosives,https://www.maritime-executive.com/article/report-welders-set-off-the-beirut-blast-while-securing-explosives,131
10,"Sigil – A free, open-source, multi-platform eBook editor",https://github.com/Sigil-Ebook/Sigil,122
11,Tesla Fremont to Soon Activate World’s Largest Unibody Casting Machine,https://www.tesmanian.com/blogs/tesmanian-blog/tesla-model-y-from-fremont-will-soon-use-the-biggest-casting-machine-for-mass-production,116
12,Hubble finds that Betelgeuse's mysterious dimming is due to a traumatic outburst,https://phys.org/news/2020-08-hubble-betelgeuse-mysterious-dimming-due.html,111
13,Launch HN: Tella (YC S20) – Collaborative video editing in the browser,item?id=24158509,102
